P18	CDKN2C
MYL2	MYLPF, MYL12B, MYL7, MYL3, MYL3, MYH6, MYH7, MYLK3, PPP1R12B, MYH7, MYH7, MYBPC3, TNNI3, MYLK3
PAX7	SNAI2, SOX9, SOX10, B3GAT1
PAX9	AXIN2, MSX1, NKX2-8, JARID1B
PDK2	PDK1, PDK3, PDK4, HIF1A
PFKFB3	HIF1A, CLOCK
PFKL	PFKM, PFK-1, NADPH, PFKM, PFKP
PI4KB	PI4KA, PI4K2A, PI4K2B, ARF1, RAB11A, ACBD3, ACBD3, RAB11A
TREM1	FPR1, CD14, TLR4, KIR2DL1
ARFGAP1	ARF1, KDELR1, LRRK2
PKN2	AKT1, NCK1, PTPN13, RHOA
PROX1	EP300
PTPN7	MAPK3, MAPK1
PTPRB	STIM1
PTPRN	SPTBN4
RBBP8	BRCA1, CTBP1, LMO4, SIAH1
RFC5	BRD4, CHTF18, PCNA, RFC2, RFC4
S100A13	SYT1, FGF1
TRAPPC2	CLIC1
SIX1	EYA1, MDFI
SS18	EP300, MLLT10, SMARCA2, SMARCB1
TNNT1	PRKG1
UBE2D1	BARD1, BRCA1, UBE3A
UBE2D2	NEDD4, PJA1, PJA2, UBE3A
RAD18	HLTF, UBE2B, UBE2A
NEIL1	MLH1
KLRC4	NKG2
CUL4B	CUL4A, CUL4A, PCNA, p21, SETD8, CUL4A, VPRBP, SAMHD1, RBX1, CAND1, DDB1, p21, SETD8, SAMHD1, IKZF1, IKZF3
CUL3	CAND1, DCUN1D1, KEAP1, KLHL12
MKNK1	MAPK1
SFRS9	NOL3
CD84	SH2D1A
MBD4	UHRF1, USP7, MECP2, MBD1, MBD2, MBD3, MLH1, MLH1, MSH2, PMS2, MSH6, MLH1, MLH1, FADD
AP3D1	SYBL1
ARHGEF1	CD44, GNA12, GNA13
ARHGEF2	PAK1
MAGED1	UNC5A, PJA1, XIAP
SCAMP1	ITSN1, AP1GBP1
SART3	snRNP, RNPS1
ELMO1	HCK
AP1M2	AP2B1
CISH	PLCG1, STAT5, IL2RB, PLCG1
CYC1	UQCRFS1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR11
PQBP1	POLR2A, POU3F2, TXNL4A, WBP11
TOB1	CNOT7, MAPK1, MARCKS, RPS6KA1
LILRB2	PTPN6
EHMT2	KIAA0515
SUPT16H	BAZ1B
PPARGC1B	PPARGC1A
APOBEC3F	APOBEC1
GABRB1	GABRA4, GABRA2, GABRG1
GPLD1	APOA4
GRIK1	DLG4, PICK1, SDCBP
GRIN2D	GRIN1, GRIN2A, GRIN2B, GRIN2C
TPX2	KIF15
RCOR1	HDAC1, HMG20B, PHF21A
TARDBP	APOA2
MACF1	CLASP1, CLASP2, ATPase, CLASP2
SUZ12	JAZF1, HOTAIR
HBP1	SIN3A
CYFIP2	FMR1, ADAR, ADARB1, ADARB2
ARHGDIB	VAV1, ARHGDIA, ARHGDIG, CCL2, CCR2
ATOX1	ATP7A, ATP7B, ATP7A
HOXA13	homeobox
KCNB1	KCNH1, PTPRE
KCNJ5	KCNJ3
VLGR1	GPR98
MEP1A	MEP1B
USH3A	CLRN1
MYH11	myosin, NDE1
NDUFS4	MT-ND4L, NDUFV1, NDUFV2, NDUFS1, NDUFS2, NDUFS3, NDUFS6, NDUFS7, NDUFS8, NDUFA2, NDUFA11, NDUFAF3, NDUFB3, NDUFB9, ACAD9, FOXRED1, MTFMT, UBE2G2
NEFM	NEFL, NEFH
PCK1	PEPCK
PEX14	PEX5, PEX7, PEX13
PFN2	ROCK1, CCDC113, FMNL1
PRKAG1	PRKAB2, PRKAB1
PTPRM	CTNND1, CTNND1, CTNND1, CDH2, c-Met, PVRL3, GNB2L1, IQGAP1, PLCG1, PRKCD, BCCIP, PTPRF, BCCIP, c-Met, CDH2, CDH4, CTNND1, GNB2L1, IQGAP1, PVRL3, PRKCD, PLCG1
RAD51L3	RAD51C, XRCC2
RFX5	CIITA
CCL3L1	CCBP2, CCR5, CCR5
SNTB2	ABCA1
ZAK	ZNF33A
EXOC4	DLG3, DLG4, EXOC3, EXOC7, GRIN2B
GRASP65	GOLGA2, USO1, TMED2, GOLGA2
TAF11	GTF2F1, POLR2A, TAF13, TAF15
XRCC2	RAD51, RAD51L1, RAD51L3, XRCC3, RAD51L3, RAD51C, EZH2
TAF15	POLR2C, POLR2E, POLR2G, SAFB, TAF11, TAF13, TAF5, TAF7
SF3A2	DDX46
CHAF1B	CAF-1, ASF1A, ASF1B, BAZ1B
AXIN2	GSK3B, GSK3B
AP3B1	AP3S2
EIF3I	EIF3A
SMC3	REC8, SMC1B, KIFAP3, MXD1, MXI1, REC8, SMC1A
MTA2	MTA1, MTA1, ZBTB33, ARHGDIA, CLOCK, BMAL1, CHD4, HDAC1, MBD3, MTA1, RBBP4, RBBP7, SATB1
VAMP3	BCAP31, SNAP23, STX4, STX6
MED21	BRCA1, GTF2F1, GTF2H4, MED6, POLR2A
CRSP3	CEBPB
ATG5	ATG7, ATG12, ATG16L1, MAP1LC3B, p73, PDCD4, ATG7, ATG10, CHEK2
RNF7	CSNK2B
TOMM20	TOMM22, TOMM40, TOMM70A
ZBTB33	HDAC3, CTNND1
INADL	MPP5
OLIG2	OLIG1, LMO1
CUGBP2	A1CF
NUDC	PLK1, PAFAH1B1
SF3B2	SF3B4, RBM7, SF3B1, CDC5L
LEKTI	KLK5, KLK7, KLK14, SPINK6
WWP1	CPSF6, KLF2
HNRPUL1	BRD7, PRMT2
CLCN3	PDZK1
CLCNKB	CLCNKA
CTBP2	CTBP1, HDAC1, HDAC2, EHMT2, LSD1, ZFPM1, PRDM16, NRIP1, ZFPM2, FHL3, KLF3, KLF8, NRIP1, SOX6, ZFPM2
DIAPH1	RHOA
DLX5	homeobox, DLX6, ALPL, MYC, DLX1, DLX2, DLX6, DLX1, DLX2, DLX6, MSX1
ERN1	XBP1
EFEMP1	ARAF
FGF4	FGF3, FGF8
GRIA4	CACNG2, PICK1, PRKCG
HAS2	CD44
HNRNPL	HNRNPLL, HNRPK, PCBP2, PTBP1
TLX1	PPP1CC, PPP2CB, PPP2CA
HOXB1	PBX1
NLRP1	APAF1
MAPK8IP3	ASK1, PTK2, MAPK10, MAPK8, MAP2K1, KLC2, MAP2K7, KLC1, MAPK8IP2, MAP2K4
KIF4A	HMG20B, DNMT3B
ASF1A	TLK1, TLK2, CHAF1B, CHAF1A
GNL3	P53
SND1	NF-kappaB, PIM1, POLR2A, RBPJ, STAT6, G3BP1, MTDH
UHRF1	DNMT1
HOXB9	BTG2, BTG1
HSF2	HSF1
IRF8	ICAM1, CD40, CD80, CD86, CCR7, CFLAR, STAT1, IRF1, COPS2
IL13RA2	IL13RA1
ILF2	CDC5L, DNA-PKcs
KCNJ12	APBA1, CASK, DLG1, DLG2, DLG3, DLG4, LIN7A, LIN7B, LIN7C
KLC1	MAPK8IP3, KIF5B, KIF5A
LIMS1	NCK2
MYH6	MYH7, MYH7, MYL4, MYL7, MYH7, MYH4, MYL7, MYBPC3
ATP1A3	ATPase
ATP6V0C	ATPase
NFYC	NFYB, NFYA
PCTK1	CDK5R1
PPP2R5B	PPP2R1B, PPP2CA
PRKAR1B	AKAP1, PRKAR1A
ABCD3	PEX19
NDUFA13	IRF1, STAT3, NOD2, STAT3
FZR1	CDC27, FBXO5
VPS24	IGFBP7
RASD1	CREB, TRPC4, Bcl-2, NOS1AP
TOLLIP	TOM1, IL1RAP
VPS35	VPS26A, VPS29, DMT1, LAMP2
ARID1B	SMARCA4, SMARCA2
TRIB3	NF-kappaB, TNF, TRAIL, AKT1, TRIB1, TRIB2, AKT1, CSNK2B, MCM3AP, RELA, SIAH1, TIAF1
HCN2	HCN1, HCN4
KDM5A	LMO2
RING1	CBX8, BMI1, RYBP
RTN1	UGCG
SALL1	TERF1, UBE2I
SURF1	SURF2, COA3, PTGES3, SLC25A5, COX6C
TPD52	TPD52L2, TPD52L1
CLSPN	CHEK1, BRCA1, CHEK1, RAD17, USP7
MPP5	INADL, FAM71D
NMNAT1	NMNAT2
UPF3B	UPF2, UPF1
CBR1	NADPH, CRB3
WHSC2	RDBP
PTP4A1	ATF7
DAP3	IPS-1, AKT, DELE, IPS-1, AKT, NOA1, FADD, TNFRSF10A
VAPB	VAPA, VAPA, VAPA
RAB9A	RABEPK, TIP47
MYOT	ACTN2, MYPN, ACTN2, ACTA1, FLNC, MYOZ1, MYOZ2, LDB3, ACTN2, ACTA1, ACTN2, ACTN2, ACTN2
ARHGEF11	PLXNB3, PLXNB1, PLXNB2, RHOA
TLK1	ASF1B, ASF1A, TLK2
MED6	MED21
MAP1LC3B	ATG8, ATG4B, ATG7, ATG3, ATG12, ATG5, ATG16L1, GABARAP, MAP1B
BRIP1	BRCA1
CARD11	CARD14, BCL10, BCL10
MAP1LC3A	MAP1A, MAP1B, MAP1A, MAP1B, ATG8
AP1S1	AP1G1, RAB10
CLNS1A	ITGA2B, SNRPD3
DLX3	SMAD1, SMAD5, SMAD8, homeobox, DLX1, DLX6
DSC3	PKP3
E2F5	TFDP1
GPNMB	SILV, SMAD1
EHD1	EPS15, SNAP29
LILRB4	PTPN6, INPP5D
CENTG1	EPB41L1, HOMER1, PIK3R1
EPB41L1	CENTG1, ITPR1
EPRS	POU2F1, IARS
FANCF	FANCG, FANCA, FANCE
SHANK2	DLG4, HOMER1, ARHGEF7, DLG4, DLGAP1, DNM2
PEG10	SIAH2, SIAH1
ARHGEF12	GNA12, GNA13, PLXNB1, RHOA
HEY2	SCN5A, SCN10A
HAVCR1	HAVCR2, TIMD4, mucin
AKAP8L	DHX9
VPS4A	CHMP1A
PIKFYVE	VAC14, FIG4, RAB9A, RABEPK, SPAG9
PHOX2A	HAND2
GSPT1	BIRC2
HNRPAB	HNRNPA0, TP63
IFRD1	MEF2C, RELA, SIN3B, SAP30, HDAC1, MEF2C, HDAC4, HDAC3, HDAC3
KIF22	SIAH1
MAGOH	RBM8A, NXF1
MAP3K4	GADD45G, GADD45B, GADD45A
MAP3K10	CDC42, KIF3A, MAPK8IP1, MAPK8IP2, NEUROD1
MTCP1	AKT1
FHOD1	RAC1
EEF2K	EEF2
A1CF	APOBEC1, APOBEC1, CUGBP2, SYNCRIP
TRIM37	PRC1
PCSK6	NODAL
POU3F2	PQBP1
POU4F1	ISL1, RIT2
PPP1R2	LMTK2, PPP1R9B
ATP6V0A4	PFKM
SNX9	ADAM9, DNM2, ADAM15
RANBP1	XPO1, KPNB1
RGS7	GNB5, GPR158, GPR179, PKD1, SNAPAP
SH3GL3	SH3KBP1
STX5	BET1L, GOSR1, GOSR2, USO1
TARBP2	RBM14
TIMP4	MMP2, TIMP1, TIMP2, TIMP3
TYRO3	GAS6, PIK3R1
XPO5	Dicer, ILF3
UBE2D3	NEDD4
ST7	ITGB1BP3, GNB2L1
AKAP1	C3orf15, MYCBP, PRKAR1A, PRKAR1B, PRKAR2A
EIF4G3	EIF4G2, PABPC1
CDC16	CDC27, CDC20
MAGI1	ACCN3, ATN1, FCHSD2, LRP2, SYNPO
COPB2	COPB1, PRKCE, RGS4
MAP4K4	TP53, GLUT4
TRAF4	MAPK8
HERPUD1	UBQLN1, UBQLN2
SAE1	SAE2
SF3B4	CDC5L, BMPR1A, SF3B2
MCRS1	PHC2, NOL1, PINX1
MAP3K2	PRK2, MAP2K5, MAP2K7, MAPK8, SH2D2A, XIAP
CEP290	ATPase
CYP4A11	CYP4A22, CYP4F2, CYP4F3, CYP4F8, CYP4F12, CYP2C8, CYP2C9, CYP2C19, CYP2J2, CYP2S1, CYP2U1
DACH1	UBE2I
DLX4	homeobox, HBB
EBF1	ZNF423
DBF4	MCM3, MCM7, ORC2L, ORC6L
IMMT	BAT2
KIF3A	KIF3B, KIFAP3, MAP3K10
DCP2	DCP1A, UPF1
EIF2S3	EIF2S1, EIF2S2
EIF4A1	EIF4E
EIF4B	EIF4A
EPHB3	MLLT4
STX2	SNAP-25, SNAP23, STXBP1
FANCE	FANCC, FANCF, FANCG, FANCD2, FANCC, BRCA1, FANCA, FANCD2, FANCF, FANCG
FLOT2	PAR-1
RIMS1	RAB3A, UNC13A, UNC13B, YWHAH
SMG1	PRKCI, UPF1
SIN3B	HDAC1, SUDS3, IKZF1
SF3B3	SF3B1, TAF9
HSPBP1	HSPA8, HSPA4
PRPF6	TXNL4B, ARAF
SERBP1	CHD3
NEIL2	NEIL1
GRIN2C	GRIN1, GRIN2A, GRIN2B, GRIN2D, DLG4, DLG3
HARS	HARS2, EEF1B2, EEF1G
KCNJ3	KCNJ5
KCNK3	YWHAB, S100A10
COPG2	COPB1
PRPF19	CDC5L
MED4	MED25
ACP2	ACP3
LMO1	GATA3, TAL1
MAFG	MAFK, NFE2, NFE2L1, NFE2L2, NFE2L3, BACH1, BACH2
MYL3	MYL1, MYL4, MYH7, MYL2, MYL2, MYH6, MYH7, myosin
NOL1	MCRS1
PFKP	PFKM, PFKL
UBR5	CIB1, MAPK1, TOPBP1
BCL2L2	BDNF, Bcl-2, BCL2L11, PPP1CA
PTPRS	PTPRD
RARRES3	RNF135
ERRFI1	CDC42
CDCA8	INCENP
CENPJ	EPB41, NF-kappaB, CDK5RAP2, CEP152, PCNT, AKAP9, EPB41
IL36G	IL1RL2, IL1B
BCCIP	BRCA2, P21, PTPRM
SALL4	SALL1, SALL2, SALL3, RBBP4, CHD3, MTA1, MBD3, HDAC1, LSD1, HOXA9, Oct-4, SOX2, Oct-4, CDX2, STAT3
RPTOR	SPAG5, MLST8, AKT1S1, DEPTOR, MAPK8, AMPK, 14-3-3, RPS6KA1, RPS6KB1, EIF4EBP1, ULK1, SPAG5, G3BP1, G3BP1, SPAG5, FKBP1A, RHEB, RICTOR, AKT, PDK1, PDK1, RICTOR, FKBP12, AKT, RICTOR
JAM2	PARD3
SNRPA1	CDC5L
SNX2	FNBP1
UBE2V2	HLTF, UBE2N, TRIM21
MAP3K12	MAPK8IP1, MAP2K7, MAPK8IP2
SMURF2	SCYE1, SMURF1
MARCKSL1	DCTN2, JNK
USP9X	peptidase, MARK4, MLLT4, NUAK1, AZI1
RGS5	GNAO1, GNAI2, GNAI3
EIF3B	EIF3A
EIF3C	EIF3G, EIF3A
EIF3H	EIF3A
CDC23	CDC27
ADAM19	ABI2
SYNGAP1	ULK2, cofilin, DLG3, ULK1
APPBP1	UBE1C, NEDD8, UBE1C, NEDD8, CUL4A, DDB2, UBE1C, NEDD8, UBE1C, TRIP12
SKAP2	PTK2B
RAB1B	GOLGA2
SCARB2	LAMP1, LAMP2, CDH2, CDH2, CTNNB1, CDH2
CDH11	CDH2
UBE1C	UBE2M, NEDD8, APPBP1, UBE2M
USP8	RNF41, STAM2
LATS1	CDC2
TMSB10	ACTG1
BUB3	BUB1, TBC1D1, MAD2L1, MXD3, KLK4, BUB1B, RAE1, BUB1, BUB1B, HDAC1, MAD2
ITGB1BP1	KRIT1, LRP2, CD29, LRP1
EFTUD2	WDR57, PRPF8
RB1CC1	PTK2B, ASK1, PTK2
SCO2	SCO1, COA6, COX20, COX20, COX16, SCO1
KCNE3	KCNE1, KCNE2, KCNQ1
PTPRU	PTPRM, PTPRK, PTPRT, AP3B1, AP3B2, AP3D1, AP3M1, AP3S1, AP3S2, SNX3, C-Kit
KIF20A	RAB6A
ABI2	ADAM19, TRIM32
ADCY5	RGS2
ADH4	homodimer
RBM14	TARBP2
MAD2L2	ADAM9, MAD2L1, REV1, REV3L
CREB3	CREB
ENOX2	SOX2
ARFGEF2	ARFGEF1, PRKAR1A, PRKAR2A
SIVA1	CD27
DRAP1	FOXH1
YKT6	BET1L
CD226	PVRL2, CD155
NEK6	NEK9
STMN2	RGS6
PNKP	XRCC1
SYNPO	MAGI1
CYP3A	CYP3A4, CYP3A5, CYP3A7, CYP3A43
DVL2	DAB2
ACSL1	ACSL3, ELAVL1, HECW2, PARK2, SPG20, SUMO2, TP53, TUBGCP3, YWHAQ
FLII	LRRFIP1
COPG	COPZ1, COPB1
MAST2	TRAF6, PCLKC
CLASP1	CLIP1
BRD4	BRD2, BRD3, BRDT, GATA1, JMJD6, RFC2, RFC3, RFC1, RFC4, RFC5
SNAPAP	SNAP-25, SNAP-25, BLOC1S1, BLOC1S2, PLDN, RGS7, SNAP-25, SNAP23, TRPV1
TRIM29	TRIM23, GCC1
STX12	PLDN
MTPN	RELA, REL
GFI1	PIAS3, RUNX1T1
GOLGA4	ARL1
GTF3C2	GTF3C4, GTF3C5
HOXA4	homeobox
IGFALS	IGFBP3
IGH@	IgA, IGHA1, IGHA2, IGHG1, IGHG2, IGHG3, IGHG4, IGHD, IgE, IGHE, IGHM, IGHV@
FBXO7	CUL1
PNKD	HAGH
CNOT7	BTG1, PABPC1, TOB1, TOB2
DNMT3L	HDAC1
ARF5	ARFIP2
KCND3	KCNE3
KLRB1	CLEC2D
ABLIM1	EPB49, LDOC1
MSH5	MSH4
MYL4	MYH7, MYL6, MYH7, MYL6, ACTC1, MYH7
NFE2L1	MAFG, MAFK, GCLC, GCLM, GPX1, HMOX1, PSMB6, PGK1, PKLR, GLUT2, FBP1, PCK1
ORC4	MCM2, MCM3, MCM4, MCM6, ORC1, ORC2, ORC3, ORC5, ORC6
PBX2	HOXA9
FIS1	DNM1L, BCAP31, TBC1D15, BCAP31, TBC1D15, DNM1L
SH3GLB1	SH3GLB2
TNFRSF12A	NFAT1, TNFSF12, LCN2
PEX12	PEX10, PEX5, PEX19
PEX13	KIAA1841, PEX14, PEX5, PEX19
PGM1	S100B
KLK7	kallikrein, KLK5, KLK14, LEKTI, SPINK6
PTPRR	MAPK7
REV1	polymerase, REV3L, MAD2L2, REV3L
TH1L	ARAF, RDBP
PIGT	PIGK, GPAA1
RNF216	TLR9, RIPK1
XAF1	XIAP
SYTL2	RAB27A
KMT2C	NCOA6, RBBP5
SCO1	SCO2, SCO2, SCO2, COX17, CIDEB, SCO2
SNRPG	DDX20, TACC1
TMPRSS2	ETV1
TOP3A	RMI1
BAT2	C1QBP, EIF3S6, IFT88, IMMT, UBAP2L
CCNG1	P53, PPP2R4
PDXK	homodimer
MPDZ	CD117, PLEKHA1
BAZ1B	CHAF1A, SMARCB1, SMARCC1, SMARCC2, SUPT16H, TOP2B
USP6	TRE17
STX8	VTI1B, STX7
FXR2	CYFIP2, FMR1, FXR1
GOSR1	USO1, BET1L, STX5
EIF4A3	EIF4A1, EIF4A2
ACOT8	CD4
AKAP8	DDX5, MCM2, MYCBP, PRKAR2A
YTHDC1	KHDRBS1
CDKN3	MS4A3
CACNG2	GRIA4, DLG4
AGR2	mucin, MUC2, FOXA1, FOXA2, LYPD3
CDC42EP3	CDC42, RHOQ
GMEB1	TRIM63
NCKAP1	RAC1, ABI1
PPP1R13L	RELA
KCNQ1OT1	KCNQ1, DNMT1
RAPGEF4	PCLO, PLCE1, GLP-1
ZHX1	NFYA
PHB2	PTMA
SLAMF6	CD2, SH2D1A
DDX1	HNRPK
TSC22D3	NFKB2, NFKB1
ELK4	BRCA1
FABP6	FABP1
FOXG1	JARID1B
IKZF3	HRAS
RPH3A	RAB3A, RAB3B, CASK
SPEN	HDAC1, SRA1
ERC1	RAB6A, RAB6A
SEPT6	SEPT2
ATG4B	GABARAPL2
BOP1	GRWD1, PES1, ORC6L, RPL3
RBPMS	SMUG1
POLG2	POLG, polymerase, DDX5, CPT1A, POLG
DDX11	ATPase, CHL1
PHC1	BMI1, PHC2
FKBP3	YY1, HDAC1
ITGB3BP	CD61, NFKB1
ORC6	ORC1, ORC2, ORC3, ORC4, ORC5, MCM5, ORC2, ORC4, DBF4, ORC3, MCM4
RCHY1	P53
GTF2H2	GTF2H5, XPB, ERCC2
LSM1	SNRPD2, snRNP
LSM3	LSM2, LSM10
POLR1D	POLR1C
POLD2	PCNA
TTRAP	ETS1, TNFRSF1B
LSM7	TACC1, LSM2
KV1.3	KCNA3
PPM1B	CHUK, IKBKG, IKK2, MAP3K7
MCM10	ORC2L
ANAPC1	ANAPC5, ANAPC4, ANAPC2, CDC27, ANAPC7
RMND5B	SMAD4
BYSL	TROAP
DCC1	CHTF18
TRIP13	MAD2L1BP
POLR1C	CD3EAP, POLR1E, POLR1D
DFNB31	CASK
PPARBP	MED1
GALNT1	mucin
GRB14	TNKS2
PUM2	CPEB, DAZL, DAZ1, NANOS1
CABIN1	MEF2B, MEF2D, SIN3A
MAPK8IP2	MAP3K10, LRP2, LRP1, MAPK8IP3, MAP3K12, MAPK8IP1, MAP2K7, MAP3K11
SMUG1	MBD4, RBPMS
AIPL1	NUB1
SPDEF	NKX3-1
WSB1	SOCS
SENP3	NPM1
PLDN	BLOC1S1, BLOC1S2, MUTED, SNAPAP, STX12
BRD7	IRF2, HNRPUL1
ARHGAP5	RHOA
GTF3C1	GTF3C4
HAS1	CD44
HGFAC	peptidase
ID4	RB1, TCF3, FOXA2, MESP1, HOXA9, CDKN1A
ITPA	homodimer
JAG2	NOTCH2
KCNH1	KCNB1
MXD1	SIN3A
ERO1L	TXNDC4, P4HB
MYO1C	myosin
ORC5	MCM2, MCM3, MCM4, MCM7, ORC1, ORC2, ORC3, ORC4
PCNT	PLK1, CHD3, CHD4, DISC1, PCM1
ING4	EP300, RELA, P53
ATP6V1H	ATPase
NUB1	NEDD8, AIPL1
TERF2IP	TERF2
ANLN	PH, ECT2
PPP2R5E	PPP2R1B, PPP2CA
PPP4C	CCDC6, CCT3, CCT4, CCT6A, CCT7, IGBP1, PPP2R1A, PPP4R1, REL, SMEK2, TRAF6
PRKAB2	PRKAG2, PRKAG1, CHD1L, CHD1L, helicase
DNAJC3	EIF2AK3, PRKRIR
DDIT4	HIF1A, HIF1A, MTOR
YY1AP1	YY1
SOX6	CTBP2, CENPK
HIF1AN	HIF1A
PDGFC	PDGFRA, PVRL1, IRF6, MSX1, PDGFRA
PAK5	PAK4
MKL1	MKL2
RAB2A	GOLGA2
RALB	RALA, EXOC8, CDC42, EXOC8, RALBP1
RRAD	CAMK2G, TPM2
SIX3	WNT1, PAX6, SOX2, WNT8B, TLE1
KIAA1967	DBC1
POLR1E	CD3EAP, POLR1C
KLC2	MAPK8IP3, KIF5B
BTG1	CNOT7, CNOT8, HOXB9, PRMT1, BTG2, BTG2
SLC14A1	SLC14A2
HLTF	helicase, ATPase, SHPRH, UBE2N, RAD18, UBE2V2
SSX1	SSX2
TACC1	BARD1, CKAP5, LSM7, SNRPG, TDRD7
TAF13	TAF15, TAF11, TAF10
TBX2	TBX3, FLRT3, FGF4, P21, EGR1, NDRG1, WNT3A, SFRP2
TCEA2	MAGEA11
UBE2A	RAD18, P53
UBE2V1	UBE2N
UQCRC1	MT-CYB, UQCRC2, UQCRFS1, UQCRB, UQCRH
TRIM25	RIG-I, IRF3, NS1
BCAR3	CDC48
RECK	MIRN21
KLF11	SIN3A
PEX3	PEX19
CRADD	RIPK1
PABPC4	PHLDA1
TSC22D1	TSC22D4
AHNAK	S100B
NAA15	Hsp40
RAB11FIP1	RAB1A, RAB11A, RAB4A
CDK5RAP3	CDK5, CDK5R1
CD6	ALCAM
SEPT7	CDC10, SEPT2, SEPT9
TAX1BP1	TNFAIP3, TRAF6, TNFAIP3, TRAF6
MCM3AP	MCM3, TRIB3
AP1G2	NEDD4
PSTPIP1	BZW1, CD2, PTPN12, PTPN18
PAPSS1	PAPSS2
DLGAP1	SHANK, DLG1, DLG4, DYNLL1, DYNLL2, SHANK2
QKI	HNRPK, KHDRBS1, KHDRBS3, KHDRBS2
FHL5	CREB1
VPS26A	VPS35
PITPNM1	RAB1B, HTRA1, MMP1, FAM3C, PDGFA, ADAM10, PTK2B
CLINT1	CLTC, GGA2
TBC1D4	GLUT4, RAB2A, RAB8A, RAB10, RAB14
CNKSR1	RASSF1
CITED2	EP300, LHX2, TFAP2A, WT1
UNC13B	DOC2A, RIMS1, SPTBN2, STX1A, STX1B
KHDRBS3	SIAH1
PAPOLA	FIP1L1, CPSF1, PDGFRA
CKAP4	ZDHHC2
WDR5	HOTTIP, MYC
COX4I1	COX4NB, COX4I2, IKBKE, TMBIM4, MCL1
CRABP1	CRABP2
DAPK3	PAWR
DUSP3	MAPK3, MAPK1
EPB41L2	FKBP2, GRIA1
RAB11FIP2	MYO5B, RAB11A, RAB25
FCRL3	PTPN6
DAB2IP	DAB2
ALOX15B	ALOX15, ALOX15
FOLR2	FOLR3
GANAB	PTPRC
ORC3	MCM4, MCM7, ORC2, ORC4, ORC5, ORC6
SLC7A11	MGLUR2
RASGRP3	PRKCD
CNTNAP2	CNTN2
ANKRD2	ANKRD1, ANKRD23, ANKRD1, TP53, TP53, ANKRD1, ANKRD23, CSRP3, ANKRD1, ANKRD1, CSRP3, CAPN2, YBX1, TP53
MKNK2	MAPK1
HOXD4	homeobox
NGFRAP1	YWHAE
IL36B	IL1A, IL1B
RABGEF1	RAB5A
PARVB	PARVA, PARVG
ANAPC2	ANAPC1, ANAPC11
PACSIN1	DNM1, PACSIN2, PACSIN3
ARL1	GOLGA4, GOLGA1
KCNJ15	KCNJ16
KLRC2	KLRD1
LAG3	CD4, CTLA-4, CD8, CTLA-4, PD-1, CCR7, CXCR4
FADS1	FADS2
LOXL2	LOXL1, LOXL3, LOXL4
MEF2B	MEF2C, MEF2D, CABIN1
MMP17	MMP2
MSH4	MSH5, MSH5, MLH1, MSH5, MLH3
NDUFS3	NDUFS2, NDUFS1
RERE	ATN1
NDUFV1	CREB1, NCOR1, VDAC1
NDUFS8	NDUFS7, MT-ND1, MLH1
PFKFB2	YWHAQ
SHANK1	ARHGEF7, BAIAP2, DNM2, SPTAN1
GLRX2	SOD1, PITPNB, GPX4, BAG3, TXNRD1
PLEKHO1	SMURF1
KCNK9	KCNK3
SUFU	PTCH1, GLI1, GLI3, PEX26
FXYD5	FXYD1, FXYD2, FXYD3, FXYD4, CCL2
PRRX1	homeobox, PRRX2
RNF4	TRPS1, PATZ1, TCF20, PATZ1
SOX18	MEF2C
TOMM22	TOMM20, TOMM40, TOMM70A
SCYL1	LMAN1, KDELR1
LSM2	DDX20, LSM3, LSM8, LSM7
SLAMF7	CD319
BCS1L	ATPase, LETM1, LETM1, DNAJA1, DDX24
ROS1	CD74
SLC4A3	SLC4A2
TBCD	ARL2
TLE2	TLE1, HES1
MDA5	helicase, RIG-I, LGP2
TNNT3	TNNT1, TNNT2
HIRA	HIST1H2BK
UBE2B	RAD18
UFD1L	NPLOC4
ZIC3	ZIC2
ZP2	ASTL, ZP3
SYMPK	CSTF2, HSF1
IRS4	NISCH
CYP4F2	CYP4A22, CYP4A11, CYP4F3
CDC14A	P53
SKAP1	LFA-1, RASGRP1, FYN, PTPRC, FYB
DDX3Y	DDX3X
EIF3G	EIF3C, EIF3A
LIN7A	CASK, DLG1, KCNJ12
MUS81	ERCC4, CHEK2
COASY	PI3K
EIF2A	EIF2S1
PKMYT1	PIN1, STEAP3
USP10	G3BP1
PDLIM1	RNF12
DYRK1B	PCBD1, RANBP9
ZW10	RINT1
PDLIM7	TPM2
VGF	CREB, BDNF
SNAP29	EHD1
ZRANB2	SNRP70
HAND1	HAND2
RIN1	HRAS
CDH4	PTPRM
MAGI2	ATN1, CASK, ATN1
SV2A	SV2B
OXSR1	proteins
FGF19	FGFR4, FGFR4, CYP7A1
PIGK	PIGT, GPAA1
SORBS3	DLG5, MAPK1
HMG20B	BRCA2, HDAC1, KIF4A, PHF21A, RCOR1
CAP1	ACTG1, CAP2
VTI1B	STX8
ARFGEF1	FKBP2, ARFGEF2, PRKAR1A
RABAC1	VAMP2
CCT7	PPP4C
CCT4	PPP4C
STAG2	STAG1
ZMYND11	BMPR1A, C11orf30, ETS2, MAP3K7IP1
POU5F1	Oct-4
CDKN2A	INK4, MDM2, CDK4
MED23	CRSP3
NM23	NME1
SCN1A	Nav1.1
CACNA1S	Cav1.1
